   0.000000000000e+00   1.387778780781e-17   0.000000000000e+00   0.000000000000e+00
   1.000000000000e+00   2.775557561563e-17   0.000000000000e+00   2.775557561563e-17
   2.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
   3.000000000000e+00   1.110223024625e-16   0.000000000000e+00   8.881784197001e-16
   4.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
   5.000000000000e+00   1.110223024625e-16   0.000000000000e+00   1.776356839400e-15
   6.000000000000e+00   0.000000000000e+00   0.000000000000e+00   3.552713678801e-15
   7.000000000000e+00   2.220446049250e-16   0.000000000000e+00   7.105427357601e-15
   8.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.421085471520e-14
   9.000000000000e+00   4.440892098501e-16   0.000000000000e+00   1.421085471520e-14
   1.000000000000e+01   0.000000000000e+00   4.440892098501e-16   1.421085471520e-14
   1.100000000000e+01   6.661338147751e-16   4.440892098501e-16   2.842170943040e-14
   1.200000000000e+01   6.661338147751e-16   0.000000000000e+00   0.000000000000e+00
   1.300000000000e+01   8.881784197001e-16   0.000000000000e+00   1.136868377216e-13
   1.400000000000e+01   4.440892098501e-16   0.000000000000e+00   5.684341886081e-14
   1.500000000000e+01   1.332267629550e-15   8.881784197001e-16   1.136868377216e-13
   1.600000000000e+01   1.332267629550e-15   0.000000000000e+00   1.705302565824e-13
   1.700000000000e+01   1.776356839400e-15   8.881784197001e-16   1.136868377216e-13
   1.800000000000e+01   0.000000000000e+00   0.000000000000e+00   2.273736754432e-13
   1.900000000000e+01   1.332267629550e-15   1.776356839400e-15   1.136868377216e-13
   2.000000000000e+01   4.440892098501e-16   1.776356839400e-15   3.410605131648e-13
   2.100000000000e+01   1.776356839400e-15   1.776356839400e-15   3.410605131648e-13
   2.200000000000e+01   1.332267629550e-15   1.776356839400e-15   5.684341886081e-13
   2.300000000000e+01   1.776356839400e-15   0.000000000000e+00   6.821210263297e-13
   2.400000000000e+01   1.776356839400e-15   3.552713678801e-15   1.136868377216e-12
   2.500000000000e+01   1.776356839400e-15   1.776356839400e-15   1.136868377216e-12
   2.600000000000e+01   1.776356839400e-15   5.329070518201e-15   4.547473508865e-13
   2.700000000000e+01   2.664535259100e-15   5.329070518201e-15   2.273736754432e-13
   2.800000000000e+01   8.881784197001e-16   5.329070518201e-15   4.547473508865e-13
   2.900000000000e+01   2.664535259100e-15   1.776356839400e-15   6.821210263297e-13
   3.000000000000e+01   0.000000000000e+00   0.000000000000e+00   4.547473508865e-13
   3.100000000000e+01   5.329070518201e-15   1.776356839400e-15   1.818989403546e-12
   3.200000000000e+01   2.664535259100e-15   0.000000000000e+00   9.094947017729e-13
   3.300000000000e+01   4.440892098501e-15   3.552713678801e-15   1.818989403546e-12
   3.400000000000e+01   4.440892098501e-15   1.065814103640e-14   4.092726157978e-12
   3.500000000000e+01   6.217248937901e-15   1.065814103640e-14   1.818989403546e-12
   3.600000000000e+01   6.217248937901e-15   7.105427357601e-15   2.728484105319e-12
   3.700000000000e+01   4.440892098501e-15   0.000000000000e+00   2.728484105319e-12
   3.800000000000e+01   3.552713678801e-15   1.065814103640e-14   6.366462912410e-12
   3.900000000000e+01   2.664535259100e-15   7.105427357601e-15   2.728484105319e-12
   4.000000000000e+01   5.329070518201e-15   3.552713678801e-15   8.185452315956e-12
   4.100000000000e+01   4.440892098501e-15   1.065814103640e-14   9.094947017729e-13
   4.200000000000e+01   2.664535259100e-15   7.105427357601e-15   1.818989403546e-12
   4.300000000000e+01   3.552713678801e-15   3.552713678801e-15   1.818989403546e-12
   4.400000000000e+01   4.440892098501e-15   3.552713678801e-15   2.728484105319e-12
   4.500000000000e+01   3.552713678801e-15   7.105427357601e-15   3.637978807092e-12
   4.600000000000e+01   7.105427357601e-15   7.105427357601e-15   1.091393642128e-11
   4.700000000000e+01   4.440892098501e-15   3.552713678801e-15   5.456968210638e-12
   4.800000000000e+01   3.552713678801e-15   3.552713678801e-15   5.456968210638e-12
   4.900000000000e+01   8.881784197001e-15   1.065814103640e-14   9.094947017729e-12
   5.000000000000e+01   5.329070518201e-15   2.842170943040e-14   9.094947017729e-12
   5.100000000000e+01   8.881784197001e-15   7.105427357601e-15   2.000888343900e-11
   5.200000000000e+01   7.105427357601e-15   0.000000000000e+00   1.455191522837e-11
   5.300000000000e+01   7.105427357601e-15   2.131628207280e-14   1.273292582482e-11
   5.400000000000e+01   8.881784197001e-15   1.421085471520e-14   1.091393642128e-11
   5.500000000000e+01   8.881784197001e-15   0.000000000000e+00   1.637090463191e-11
   5.600000000000e+01   5.329070518201e-15   1.421085471520e-14   9.094947017729e-12
   5.700000000000e+01   7.105427357601e-15   4.263256414561e-14   1.455191522837e-11
   5.800000000000e+01   5.329070518201e-15   2.131628207280e-14   1.818989403546e-11
   5.900000000000e+01   7.105427357601e-15   7.105427357601e-15   1.455191522837e-11
   6.000000000000e+01   5.329070518201e-15   7.105427357601e-15   2.546585164964e-11
   6.100000000000e+01   7.105427357601e-15   3.552713678801e-14   1.455191522837e-11
   6.200000000000e+01   8.881784197001e-15   7.105427357601e-15   1.091393642128e-11
   6.300000000000e+01   3.552713678801e-15   2.842170943040e-14   1.818989403546e-11
   6.400000000000e+01   1.065814103640e-14   1.421085471520e-14   1.091393642128e-11
   6.500000000000e+01   1.065814103640e-14   1.421085471520e-14   3.274180926383e-11
   6.600000000000e+01   8.881784197001e-15   7.105427357601e-15   2.182787284255e-11
   6.700000000000e+01   1.598721155460e-14   7.105427357601e-15   4.365574568510e-11
