"Theta [deg]","mag(rEPhi) [] - Freq='2.4GHz' Phi='0deg'","mag(rEPhi) [] - Freq='2.4GHz' Phi='10deg'","mag(rEPhi) [] - Freq='2.4GHz' Phi='20deg'","mag(rEPhi) [] - Freq='2.4GHz' Phi='30deg'","mag(rEPhi) [] - Freq='2.4GHz' Phi='40deg'","mag(rEPhi) [] - Freq='2.4GHz' Phi='50deg'","mag(rEPhi) [] - Freq='2.4GHz' Phi='60deg'","mag(rEPhi) [] - Freq='2.4GHz' Phi='70deg'","mag(rEPhi) [] - Freq='2.4GHz' Phi='80deg'","mag(rEPhi) [] - Freq='2.4GHz' Phi='90deg'","mag(rEPhi) [] - Freq='2.4GHz' Phi='100deg'","mag(rEPhi) [] - Freq='2.4GHz' Phi='110deg'","mag(rEPhi) [] - Freq='2.4GHz' Phi='120deg'","mag(rEPhi) [] - Freq='2.4GHz' Phi='130deg'","mag(rEPhi) [] - Freq='2.4GHz' Phi='140deg'","mag(rEPhi) [] - Freq='2.4GHz' Phi='150deg'","mag(rEPhi) [] - Freq='2.4GHz' Phi='160deg'","mag(rEPhi) [] - Freq='2.4GHz' Phi='170deg'","mag(rEPhi) [] - Freq='2.4GHz' Phi='180deg'","mag(rEPhi) [] - Freq='2.4GHz' Phi='190deg'","mag(rEPhi) [] - Freq='2.4GHz' Phi='200deg'","mag(rEPhi) [] - Freq='2.4GHz' Phi='210deg'","mag(rEPhi) [] - Freq='2.4GHz' Phi='220deg'","mag(rEPhi) [] - Freq='2.4GHz' Phi='230deg'","mag(rEPhi) [] - Freq='2.4GHz' Phi='240deg'","mag(rEPhi) [] - Freq='2.4GHz' Phi='250deg'","mag(rEPhi) [] - Freq='2.4GHz' Phi='260deg'","mag(rEPhi) [] - Freq='2.4GHz' Phi='270deg'","mag(rEPhi) [] - Freq='2.4GHz' Phi='280deg'","mag(rEPhi) [] - Freq='2.4GHz' Phi='290deg'","mag(rEPhi) [] - Freq='2.4GHz' Phi='300deg'","mag(rEPhi) [] - Freq='2.4GHz' Phi='310deg'","mag(rEPhi) [] - Freq='2.4GHz' Phi='320deg'","mag(rEPhi) [] - Freq='2.4GHz' Phi='330deg'","mag(rEPhi) [] - Freq='2.4GHz' Phi='340deg'","mag(rEPhi) [] - Freq='2.4GHz' Phi='350deg'","mag(rEPhi) [] - Freq='2.4GHz' Phi='360deg'","mag(rETheta) [] - Freq='2.4GHz' Phi='0deg'","mag(rETheta) [] - Freq='2.4GHz' Phi='10deg'","mag(rETheta) [] - Freq='2.4GHz' Phi='20deg'","mag(rETheta) [] - Freq='2.4GHz' Phi='30deg'","mag(rETheta) [] - Freq='2.4GHz' Phi='40deg'","mag(rETheta) [] - Freq='2.4GHz' Phi='50deg'","mag(rETheta) [] - Freq='2.4GHz' Phi='60deg'","mag(rETheta) [] - Freq='2.4GHz' Phi='70deg'","mag(rETheta) [] - Freq='2.4GHz' Phi='80deg'","mag(rETheta) [] - Freq='2.4GHz' Phi='90deg'","mag(rETheta) [] - Freq='2.4GHz' Phi='100deg'","mag(rETheta) [] - Freq='2.4GHz' Phi='110deg'","mag(rETheta) [] - Freq='2.4GHz' Phi='120deg'","mag(rETheta) [] - Freq='2.4GHz' Phi='130deg'","mag(rETheta) [] - Freq='2.4GHz' Phi='140deg'","mag(rETheta) [] - Freq='2.4GHz' Phi='150deg'","mag(rETheta) [] - Freq='2.4GHz' Phi='160deg'","mag(rETheta) [] - Freq='2.4GHz' Phi='170deg'","mag(rETheta) [] - Freq='2.4GHz' Phi='180deg'","mag(rETheta) [] - Freq='2.4GHz' Phi='190deg'","mag(rETheta) [] - Freq='2.4GHz' Phi='200deg'","mag(rETheta) [] - Freq='2.4GHz' Phi='210deg'","mag(rETheta) [] - Freq='2.4GHz' Phi='220deg'","mag(rETheta) [] - Freq='2.4GHz' Phi='230deg'","mag(rETheta) [] - Freq='2.4GHz' Phi='240deg'","mag(rETheta) [] - Freq='2.4GHz' Phi='250deg'","mag(rETheta) [] - Freq='2.4GHz' Phi='260deg'","mag(rETheta) [] - Freq='2.4GHz' Phi='270deg'","mag(rETheta) [] - Freq='2.4GHz' Phi='280deg'","mag(rETheta) [] - Freq='2.4GHz' Phi='290deg'","mag(rETheta) [] - Freq='2.4GHz' Phi='300deg'","mag(rETheta) [] - Freq='2.4GHz' Phi='310deg'","mag(rETheta) [] - Freq='2.4GHz' Phi='320deg'","mag(rETheta) [] - Freq='2.4GHz' Phi='330deg'","mag(rETheta) [] - Freq='2.4GHz' Phi='340deg'","mag(rETheta) [] - Freq='2.4GHz' Phi='350deg'","mag(rETheta) [] - Freq='2.4GHz' Phi='360deg'"
0,0.00135171052774713,0.00124846348579569,0.00111499093116568,0.000958541151826348,0.000790302493444173,0.000629303662747993,0.000510591268991396,0.000484706726616253,0.000567311183050735,0.000714790850021012,0.000882828542091306,0.00104634723372047,0.00119132118689781,0.00130899552289231,0.0013935652873648,0.00144129936728147,0.0014502091915545,0.00141993145316307,0.00135171052774713,0.00124846348579569,0.00111499093116568,0.000958541151826349,0.00079030249344417,0.000629303662747989,0.000510591268991397,0.000484706726616253,0.000567311183050737,0.000714790850021013,0.000882828542091303,0.00104634723372047,0.00119132118689781,0.00130899552289231,0.0013935652873648,0.00144129936728147,0.0014502091915545,0.00141993145316306,0.00135171052774713,0.000714790850021016,0.000882828542091308,0.00104634723372047,0.00119132118689781,0.00130899552289231,0.0013935652873648,0.00144129936728146,0.0014502091915545,0.00141993145316306,0.00135171052774713,0.00124846348579569,0.00111499093116568,0.000958541151826342,0.00079030249344417,0.000629303662747995,0.000510591268991404,0.000484706726616255,0.000567311183050741,0.000714790850021015,0.000882828542091307,0.00104634723372047,0.00119132118689781,0.00130899552289231,0.0013935652873648,0.00144129936728146,0.00145020919155449,0.00141993145316306,0.00135171052774713,0.00124846348579569,0.00111499093116568,0.000958541151826344,0.000790302493444172,0.00062930366274799,0.000510591268991399,0.000484706726616256,0.000567311183050737,0.000714790850021015
10,0.000560032789114424,0.000440025616487382,0.000322874757260608,0.000236462446695997,0.000232218068296219,0.000313103518662668,0.000427373806338764,0.000545546327055699,0.000655358180410866,0.000750369064676376,0.000826444727517776,0.000880717129090759,0.000911245713935173,0.000916905546665662,0.000897360821696314,0.000853077973604473,0.000785369099606205,0.000696485948018404,0.000589846810676128,0.000470682351928401,0.00034820804106388,0.000243866019354503,0.000210131594500386,0.000278633087504551,0.000395192026617781,0.000519894829189533,0.00063705837588163,0.000738789865839062,0.000820044561656944,0.000877353269879053,0.000908473775834845,0.000912295354991178,0.000888810064256246,0.000839096591381219,0.000765313877973556,0.000670745955687409,0.000560032789114426,0.00630714479524415,0.00668604860667657,0.00703705982871836,0.00734993434742402,0.00761551554436726,0.00782599007462777,0.00797511352239021,0.00805839846408851,0.00807325805415727,0.00801909898143731,0.00789735867832642,0.00771148310103835,0.00746684327177303,0.0071705910560328,0.00683145727239449,0.00645949810378372,0.00606579877761947,0.00566214641420217,0.0052606864196326,0.00487357800177466,0.00451266276785455,0.00418915362440288,0.00391333751058822,0.00369426735205268,0.00353940887932178,0.00345422990116282,0.00344178566506775,0.00350242787553788,0.00363376677323722,0.00383091197959658,0.0040868901702892,0.00439309606945234,0.00473968762359597,0.00511591237671848,0.00551039293971117,0.00591140216429043,0.00630714479524415
20,0.00221832312052036,0.00231243526751242,0.00234035536164183,0.00230103404675685,0.00219578602265183,0.00202830863467901,0.00180476815671791,0.0015341237771605,0.00122926027786472,0.000911118669835206,0.0006254733046018,0.000495342851750915,0.000638830729298784,0.000926126501978017,0.00124015081768088,0.00153789411310744,0.00179944117556113,0.00201253373347809,0.00216873448062778,0.00226235422760157,0.00229013518359387,0.00225116329556197,0.00214685401301682,0.00198098046935674,0.00175979576509145,0.00149245190026741,0.00119239576914875,0.00088234880510969,0.00061380714655767,0.000516459105988534,0.00068095822413699,0.000972616307955734,0.00128740039466745,0.00158554592389792,0.00184765302093296,0.00206144090964912,0.00221832312052036,0.0141661489700975,0.0150428224086738,0.0158724936856302,0.0166299892527698,0.0172921601669932,0.0178386078771109,0.0182523329322712,0.0185202865409775,0.0186338066801476,0.0185889229976525,0.0183865182910226,0.0180323388440331,0.0175368511334554,0.0169149480239826,0.0161855131218526,0.0153708569962256,0.014496043026402,0.0135881232081582,0.0126753048998355,0.0117860679720646,0.0109482486653127,0.0101881040144441,0.00952937443086124,0.00899237994070725,0.00859322159046119,0.00834319914080507,0.00824855783049734,0.00831059935552327,0.00852605671130274,0.00888754045436714,0.00938390084509368,0.010000481593551,0.0107193512475923,0.01151961882581,0.0123778934748874,0.0132688902568566,0.0141661489700975
30,0.00704182496799263,0.00714390702862878,0.00703005589218196,0.00670387680906034,0.00617553282187253,0.00546145433013548,0.00458392176173254,0.00357068072943627,0.00245531058114692,0.00128433195396303,0.000360160793889833,0.00128111344322699,0.00244775842862296,0.00355630747148214,0.00456065678363122,0.00542779402904332,0.00613060947861137,0.00664746669003554,0.00696253089568179,0.0070661385049664,0.00695505319155167,0.00663256290925244,0.00610840613757001,0.00539853758636763,0.00452478051709848,0.00351453496310895,0.00240135323213697,0.00123344154947023,0.00037372334828914,0.00134135752801561,0.00251201743064755,0.00362451444234608,0.00463279365414723,0.00550337856932865,0.00620872585024205,0.00672687661666234,0.00704182496799263,0.0242306634696049,0.0259184311421842,0.0275271917405877,0.0290074470309054,0.0303134402469732,0.031404610759757,0.0322468871612086,0.0328137815370368,0.0330872509560628,0.0330582975415779,0.032727285921283,0.0321039659757997,0.0312071989815278,0.0300643957075989,0.0287106849690195,0.0271878397492035,0.0255429944912043,0.023827190753391,0.0220937885051749,0.0203967768540018,0.0187890126734858,0.0173204142641806,0.016036152290846,0.0149749287934512,0.0141675212957511,0.0136358480387319,0.0133927708560943,0.0134426032103768,0.0137819401136579,0.0144002894892832,0.0152802455324191,0.0163973786650096,0.0177202399806128,0.0192107814675612,0.0208252630529575,0.0225155512584031,0.0242306634696049
40,0.0119131637635924,0.0120419622153476,0.0118059028212637,0.0112123522826707,0.0102795795052332,0.00903618141087472,0.00752020733303659,0.00577804067121197,0.00386322606991639,0.00183679457985336,0.000320417366888795,0.00234141662443083,0.00434085416773422,0.0062094224167292,0.00788885696829189,0.00932794201843701,0.0104829678087795,0.0113188683812037,0.0118102308083878,0.0119420499608555,0.0117101859704243,0.0111215044630252,0.0101936927019515,0.00895475676590002,0.00744222037403736,0.0057020795973804,0.00378771916639489,0.00176066225409445,0.000392316790611399,0.00242644161096303,0.00443059575870192,0.00630401260648079,0.007987814762549,0.00943023986309593,0.0105871647666451,0.011423287735189,0.0119131637635924,0.0323697760502454,0.034816121215723,0.0371514694866345,0.0393040089437267,0.0412073488922371,0.0428026185913069,0.0440403295550786,0.0448819455409243,0.0453011106456865,0.0452844952890659,0.0448322318746775,0.0439579258262636,0.0426882425683577,0.0410620858708179,0.0391293968392145,0.0369496147983192,0.0345898505188248,0.0321228278112658,0.0296246505833064,0.0271724484215376,0.0248419453668195,0.0227049886534219,0.0208270802964194,0.0192649989338214,0.0180647028658143,0.0172598347088284,0.0168711608402904,0.0169069971175306,0.0173641686528007,0.0182287849860146,0.0194764453696673,0.0210721224095286,0.0229702871700406,0.0251156662342814,0.0274446791748825,0.029887391398599,0.0323697760502454
50,0.0109586794998414,0.0112021567376666,0.0111067569489412,0.010675622146997,0.00992210899880344,0.00886935936104812,0.00754958582215322,0.00600311493823188,0.0042773011760573,0.00242594293698754,0.000527520240381222,0.00145826366169572,0.00334452560600002,0.00513287544270056,0.00676510041533207,0.00819111294074064,0.00936747992080231,0.0102583944937477,0.0108366840594683,0.0110846183240531,0.0109944550605981,0.0105686959679589,0.00982003970268443,0.00877103053996871,0.0074534137579209,0.00590722969556238,0.00417974533759085,0.00232481835947021,0.000424313843030061,0.0015654676381818,0.00345890849128695,0.00525258595012207,0.00688880588895373,0.00831717161665917,0.00949402287771428,0.0103835209277604,0.0109586794998414,0.0288654794783076,0.031131536423875,0.0332876939099159,0.0352680977260642,0.037012149082234,0.0384664148150795,0.0395863133181365,0.0403375184422936,0.040697033927115,0.0406539031916952,0.0402095329598439,0.039377623480213,0.0381837122576487,0.0366643515388933,0.0348659517349368,0.032843333124537,0.0306580363351376,0.0283764480956397,0.0260678024188074,0.0238021182778527,0.0216481321034154,0.0196712757082245,0.0179317368559789,0.0164826242106404,0.0153682548883405,0.0146226161204975,0.0142681315411078,0.0143149273105637,0.0147607259303846,0.0155912826297352,0.0167811160496958,0.0182943450707954,0.0200856291365787,0.0221013144623366,0.0242808627665702,0.0265585640653626,0.0288654794783076
60,0.00713777187247233,0.00674013716068092,0.00615904225303782,0.00542134769713298,0.00456711047664827,0.00365874717834874,0.0028081352871136,0.00223948041452222,0.00225935759461287,0.00284923456598826,0.00369669755413898,0.00458873070574225,0.0054210754279399,0.00613649604087069,0.00669902504813751,0.00708500955405414,0.00727984646681775,0.00727671319667581,0.00707607781304027,0.00668560813404451,0.00612047626536175,0.0054044222137022,0.00457273481511069,0.00368067504066693,0.00282816335825729,0.00222165425931535,0.00217802214651301,0.00273302033435641,0.0035791031462011,0.00448814922699685,0.00534771925589762,0.00609545305781216,0.00669100230015023,0.00710670582332584,0.00732453664399666,0.00733516653369762,0.00713777187247233,0.0189475061480405,0.0201121695589699,0.0212597363567985,0.022355739228728,0.0233672868527518,0.0242640758686191,0.0250193037002432,0.0256104528488846,0.0260199276793225,0.0262355333329594,0.0262507930530006,0.026065104967933,0.0256837424961544,0.0251177043921765,0.0243834215224375,0.0235023282034634,0.022500306716183,0.0214070145683768,0.0202551050395619,0.0190793519840358,0.0179156890302355,0.0168001706930129,0.0157678594159272,0.0148516424119309,0.0140809944464149,0.0134807386631696,0.0130699184686342,0.0128609515876509,0.0128592340178129,0.0130632535913799,0.0134651019292761,0.0140511604430552,0.0148027658538848,0.0156967927701191,0.0167062116534649,0.0178007192656776,0.0189475061480405
70,0.041752132763234,0.0406625747782024,0.0383352860289339,0.0348422139545706,0.0302911703381273,0.0248227161911772,0.0186067299209195,0.0118416326474591,0.00479338672353405,0.00291509113065477,0.00992071276858547,0.0167873664283951,0.023163231797413,0.0288425889757139,0.0336506677430126,0.0374412253667805,0.040099417279882,0.0415447648573484,0.0417333857088929,0.0406592552623804,0.0383544179685836,0.0348881340471519,0.0303650096947604,0.0249222737606692,0.0187267579845018,0.011974491884939,0.00492887864520081,0.00280818885665594,0.00981116715163348,0.0166984201238714,0.0231003276146722,0.0288071292392591,0.0336405262907316,0.0374511358454063,0.0401216495306695,0.0415700736068393,0.041752132763234,0.0754051698862219,0.0814387632662852,0.0873372240983538,0.0929164932806703,0.0980026602394879,0.102437387792482,0.106082762456996,0.108825482586874,0.110580291001586,0.111292563843772,0.110939982087472,0.109533234202223,0.1071157254713,0.103762298781737,0.0995770006926364,0.0946899525323908,0.0892534064335275,0.0834370779483852,0.0774228482107602,0.0713989199600243,0.0655535005617058,0.0600680948863848,0.0551105723829256,0.0508284012492448,0.0473428569341369,0.0447454513127431,0.0430977718971895,0.0424347410226144,0.0427692236989281,0.044094643646032,0.0463835743489401,0.0495834309197695,0.0536125019365589,0.0583589788492189,0.063683569290282,0.0694247255480871,0.0754051698862219
80,0.0916799509465586,0.0899010454687343,0.0853883916356402,0.0782805196356936,0.0687950496682862,0.0572220434528205,0.0439154165563846,0.0292836341102434,0.0137896162411514,0.00256096407115542,0.0181254833452333,0.0334212605764184,0.0477147814965242,0.0605631508650061,0.0715752164279532,0.0804169389192532,0.0868203424214505,0.0905912456103947,0.0916149874846627,0.0898598669845643,0.0853781645584311,0.0783047026902113,0.0688529842513086,0.0573090497492084,0.0440234010239938,0.0294022095602891,0.0139081694705611,0.0024986193731468,0.0180515623762687,0.033376410273807,0.0477035710531462,0.0605851795317433,0.0716258565703588,0.0804880246949405,0.0869011958184191,0.0906699807355641,0.0916799509465586,0.158881729362775,0.172521915828322,0.185787233212279,0.198267241033283,0.209576193080923,0.219364879167065,0.22733125212742,0.233229591704076,0.236877961519783,0.238163742990103,0.237047076132077,0.233562096849451,0.227815928372346,0.219985455958711,0.210311983476258,0.199093932793596,0.186677796726393,0.173447588271376,0.159813037912483,0.146196773958265,0.133020684224679,0.120691633279406,0.109586787583729,0.100039151497693,0.0923247124575186,0.086653658394911,0.0831683967331728,0.081948873855599,0.083021016250028,0.0863611062134111,0.0918921672386598,0.0994757327665904,0.108906150639239,0.119911966385522,0.13216421381996,0.145288979923402,0.158881729362775
90,0.138339123031856,0.135994573572166,0.129516973519144,0.11910469974857,0.105075779157977,0.0878581652237811,0.0679768769535264,0.0460390534870627,0.0227235299925077,0.00195874433631138,0.0253616383644347,0.0485481047104042,0.0702714755439695,0.0898637834055057,0.106729292393267,0.120356222333578,0.130331175299694,0.136351310631188,0.138233389711751,0.135919323452558,0.129478029910644,0.119103530193081,0.105109325347687,0.0879192269852836,0.0680550195812423,0.046121996715765,0.022799380977334,0.00196663241023832,0.0253437968433234,0.0485647984633972,0.0703252323355882,0.0899517866556354,0.106844391103688,0.120487916447238,0.130466920609648,0.136478047099862,0.138339123031856,0.229104048393148,0.249985427198177,0.270259994898228,0.289303832036755,0.306531426810561,0.321413529318355,0.333493212963924,0.342399724797586,0.347859730915635,0.349705618220201,0.347880593034155,0.342440413606807,0.333551700729735,0.321486881574309,0.306615929404231,0.28939515904554,0.270353418127546,0.250076070281699,0.229187191369482,0.20833038627937,0.188148580500815,0.169263070861846,0.152252126078176,0.137629735262945,0.12582604547871,0.117172638184235,0.111896808455733,0.110126601377048,0.111901532930598,0.117178608593361,0.125827680846047,0.137621275470285,0.152229180361008,0.169223380871685,0.188092095917769,0.208258944243893,0.229104048393148
