Frequency	S11	Frequency	S22
GHZ	dB	GHZ	dB
4.7527986	-3.5479932	4.324614	-2.3983793
4.830532	-3.232863	4.4089355	-2.394182
4.8976364	-3.18855	4.43161	-2.5394018
4.9561944	-3.439904	4.462451	-2.5134752
4.977156	-3.4414885	4.600521	-3.2871277
5.0042987	-3.6410823	4.621053	-3.18854
		4.6991963	-3.1602588
		4.717654	-3.0129914
		4.7567472	-3.0598283
		4.8306217	-2.5927138
		4.883973	-2.2485783
		4.914762	-2.0763056
		4.9497247	-2.0745652
		4.9640865	-1.9762847
		4.982588	-1.9509723
